epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1636,1.7599,3.2325,1.78615,0.02778,1,0.06367,0.03935,1.29864,3.03664,1.13475,6e-05,6e-05,6e-05
2,18.2363,1.65099,3.10113,1.76242,0.02778,1,0.07895,0.06162,0.71445,2.97176,0.92937,0.000137228,0.000137228,0.000137228
3,25.9554,1.28807,2.50708,1.33937,0.02778,1,0.08548,0.06779,0.68547,2.90687,0.9141,0.000211288,0.000211288,0.000211288
4,32.9645,1.2388,1.94141,1.38399,0.02778,1,0.09249,0.07249,0.70532,2.71892,0.91918,0.00028218,0.00028218,0.00028218
5,40.1035,1.35457,1.47314,1.43083,0.02778,1,0.89296,0.70001,0.74498,2.4693,0.93384,0.000349904,0.000349904,0.000349904
6,47.2148,1.45484,1.51936,1.52547,0.02778,1,0.83533,0.68291,0.76924,2.47676,0.95971,0.00041446,0.00041446,0.00041446
7,54.2517,1.16956,1.28217,1.32162,0.02611,0.94,0.11853,0.064,1.35846,3.06363,1.41687,0.000475848,0.000475848,0.000475848
8,61.256,1.31936,1.43176,1.44342,0.025,0.9,0.07709,0.03601,1.56462,3.2271,1.59805,0.000534068,0.000534068,0.000534068
9,68.2993,1.47677,1.6281,1.57785,0.02722,0.98,0.11881,0.07563,1.31753,3.03537,1.39662,0.00058912,0.00058912,0.00058912
10,75.6634,1.4161,1.37791,1.39594,0.70143,0.84,0.8901,0.70438,0.86257,2.26667,0.97608,0.000641004,0.000641004,0.000641004
11,82.9187,1.38151,1.43786,1.47122,1,0.82941,0.96969,0.72058,0.86205,1.9891,0.94299,0.00068972,0.00068972,0.00068972
12,90.0763,1.27224,1.21185,1.25872,1,0.89505,0.995,0.76066,0.86218,1.70718,0.93109,0.000735268,0.000735268,0.000735268
13,97.1862,1.16815,1.15174,1.24587,1,0.95876,0.995,0.7488,0.92448,1.50135,0.95233,0.000777648,0.000777648,0.000777648
14,104.078,1.20829,1.31653,1.34576,0.99145,1,0.995,0.74953,0.93782,1.22066,0.9693,0.00081686,0.00081686,0.00081686
15,111.163,1.2142,1.20244,1.30175,0.99614,1,0.995,0.77384,0.84219,0.95784,0.94466,0.000852904,0.000852904,0.000852904
16,118.311,1.32814,1.37322,1.38164,0.99614,1,0.995,0.77384,0.84219,0.95784,0.94466,0.00088578,0.00088578,0.00088578
